273,09/23/2019,18:09:54,69.25660121002183
274,09/23/2019,18:09:55,54.95126787477892
275,09/23/2019,18:09:56,49.53459535024764
276,09/23/2019,18:09:57,39.79581242598329
277,09/23/2019,18:09:58,55.486188879332026
278,09/23/2019,18:09:59,45.66871264217196
279,09/23/2019,18:10:00,76.62560297408007
280,09/23/2019,18:10:01,81.17803572020756
281,09/23/2019,18:10:02,86.7675087062887
282,09/23/2019,18:10:03,52.27499093983353
283,09/23/2019,18:10:04,79.2544673697399
284,09/23/2019,18:10:05,61.083081893987256
285,09/23/2019,18:10:06,68.35918351856354
286,09/23/2019,18:10:07,44.41461283112332
287,09/23/2019,18:10:08,54.42176823285887
288,09/23/2019,18:10:09,52.80504410060378
289,09/23/2019,18:10:10,55.961208376801146
290,09/23/2019,18:10:11,57.272645077728384
291,09/23/2019,18:10:12,55.557764115595724
292,09/23/2019,18:10:13,45.77509529299146
293,09/23/2019,18:10:14,48.69765458256478
294,09/23/2019,18:10:15,55.60223357540354
295,09/23/2019,18:10:16,65.09898154653519
296,09/23/2019,18:10:17,43.027059350952975
297,09/23/2019,18:10:18,48.86838723723889
298,09/23/2019,18:10:19,56.90831479643072
299,09/23/2019,18:10:20,57.71589141254481
300,09/23/2019,18:10:21,55.9739125071253
301,09/23/2019,18:10:22,58.07347597360053
302,09/23/2019,18:10:23,55.68988728562461
303,09/23/2019,18:10:24,55.04849898528353
304,09/23/2019,18:10:25,54.661076728517536
305,09/23/2019,18:10:26,61.62148552714729
306,09/23/2019,18:10:27,56.574976494579666
307,09/23/2019,18:10:28,55.01875573208382
308,09/23/2019,18:10:29,58.34696622132497
309,09/23/2019,18:10:30,62.44688613691738
310,09/23/2019,18:10:31,55.76563684586032
311,09/23/2019,18:10:32,59.0669297546409
312,09/23/2019,18:10:33,60.9571887928787
313,09/23/2019,18:10:34,55.17347748331686
314,09/23/2019,18:10:35,62.477853525791424
315,09/23/2019,18:10:36,55.56919986770774
316,09/23/2019,18:10:37,55.300545276065385
317,09/23/2019,18:10:38,58.430305087564875
318,09/23/2019,18:10:39,54.9019799221317
319,09/23/2019,18:10:40,68.54823662605735
320,09/23/2019,18:10:41,62.1285120249903
321,09/23/2019,18:10:42,59.051924999868405
322,09/23/2019,18:10:43,63.890404717640756
323,09/23/2019,18:10:44,61.51002165908615
324,09/23/2019,18:10:45,56.109242677542674
325,09/23/2019,18:10:46,54.15776445179402
326,09/23/2019,18:10:47,65.32395277439707
327,09/23/2019,18:10:48,76.96997693312437
328,09/23/2019,18:10:49,54.29391869749514
329,09/23/2019,18:10:50,50.56642161999608
330,09/23/2019,18:10:51,54.81117392636242
331,09/23/2019,18:10:52,56.36291652367029
332,09/23/2019,18:10:53,58.20396502592439
333,09/23/2019,18:10:54,60.330128055154006
334,09/23/2019,18:10:55,55.86580330454735
335,09/23/2019,18:10:56,56.39611004974001
336,09/23/2019,18:10:57,50.294767267090684
337,09/23/2019,18:10:58,53.49021882047353
338,09/23/2019,18:10:59,58.13444661278324
339,09/23/2019,18:11:00,50.84923775667821
340,09/23/2019,18:11:01,55.99373344652904
341,09/23/2019,18:11:02,56.4765850834269
342,09/23/2019,18:11:03,53.29710653423045
343,09/23/2019,18:11:04,54.584441525650504
344,09/23/2019,18:11:05,60.721234816375215
345,09/23/2019,18:11:06,58.46521485632493
346,09/23/2019,18:11:07,55.889498540227116
347,09/23/2019,18:11:08,69.5489109791241
348,09/23/2019,18:11:09,61.95332358974721
349,09/23/2019,18:11:10,66.73439010075577
350,09/23/2019,18:11:11,60.36040430011343
351,09/23/2019,18:11:12,53.4048462697502
352,09/23/2019,18:11:13,72.22859046692031
353,09/23/2019,18:11:14,83.67856213212626
354,09/23/2019,18:11:15,59.29794914324014
355,09/23/2019,18:11:16,56.741058971753155
356,09/23/2019,18:11:17,53.66357145135245
357,09/23/2019,18:11:18,50.14165748364459
358,09/23/2019,18:11:19,52.466644305132725
359,09/23/2019,18:11:20,53.2243421922791
360,09/23/2019,18:11:21,54.49223201629167
361,09/23/2019,18:11:22,55.8725419440706
362,09/23/2019,18:11:23,52.274687142465716
363,09/23/2019,18:11:24,60.25792933142781
364,09/23/2019,18:11:25,53.99052217809229
365,09/23/2019,18:11:26,56.013103143613755
366,09/23/2019,18:11:27,57.4262039974121
367,09/23/2019,18:11:28,72.59671097249195
368,09/23/2019,18:11:29,65.59394539311097
369,09/23/2019,18:11:30,59.32642050890377
370,09/23/2019,18:11:31,63.66303988713892
371,09/23/2019,18:11:32,53.1527428099951
372,09/23/2019,18:11:33,61.26429499867317
373,09/23/2019,18:11:34,54.156585268072384
374,09/23/2019,18:11:35,92.86050228343888
375,09/23/2019,18:11:36,62.002604117727635
376,09/23/2019,18:11:37,55.906022815043116
377,09/23/2019,18:11:38,56.81001335877318
378,09/23/2019,18:11:39,57.687252159073566
379,09/23/2019,18:11:40,49.75493372244047
380,09/23/2019,18:11:41,35.25971725598423
381,09/23/2019,18:11:42,41.82852596400272
382,09/23/2019,18:11:43,48.19555426960096
383,09/23/2019,18:11:44,61.431412713057526
384,09/23/2019,18:11:45,57.291715395750295
385,09/23/2019,18:11:46,62.08557609523353
386,09/23/2019,18:11:47,49.16785026553444
387,09/23/2019,18:11:48,59.21362675021263
388,09/23/2019,18:11:49,62.214985863631505
389,09/23/2019,18:11:50,63.54612831777453
390,09/23/2019,18:11:51,63.515335209632845
391,09/23/2019,18:11:52,62.87805590913821
392,09/23/2019,18:11:53,62.951131657842026
393,09/23/2019,18:11:54,60.9929082665651
394,09/23/2019,18:11:55,60.90874955768432
395,09/23/2019,18:11:56,63.728737848855715
396,09/23/2019,18:11:57,61.32850143385557
397,09/23/2019,18:11:58,61.550849797580064
398,09/23/2019,18:11:59,65.55244427223889
399,09/23/2019,18:12:00,61.241886694143275
400,09/23/2019,18:12:01,62.5780773963759
401,09/23/2019,18:12:02,55.09721118344929
402,09/23/2019,18:12:03,57.1725389251511
403,09/23/2019,18:12:04,59.15079817634643
404,09/23/2019,18:12:05,59.98265003335389
405,09/23/2019,18:12:06,62.65878198300946
406,09/23/2019,18:12:07,64.60145910002494
407,09/23/2019,18:12:08,63.72782314023938
408,09/23/2019,18:12:09,61.29958157496507
409,09/23/2019,18:12:10,57.79427291555387
410,09/23/2019,18:12:11,57.73657245321999
411,09/23/2019,18:12:12,65.42487563658511
412,09/23/2019,18:12:13,63.10005785123704
413,09/23/2019,18:12:14,68.66237301461786
414,09/23/2019,18:12:15,66.33061994706682
415,09/23/2019,18:12:16,58.766670969479854
416,09/23/2019,18:12:17,58.06688382336523
417,09/23/2019,18:12:18,59.80819192690916
418,09/23/2019,18:12:19,55.9460684606854
419,09/23/2019,18:12:20,52.902767644013394
420,09/23/2019,18:12:21,53.842261866979186
421,09/23/2019,18:12:22,54.18583083746694
422,09/23/2019,18:12:23,65.95030907547182
423,09/23/2019,18:12:24,65.2135705325797
424,09/23/2019,18:12:25,65.40846205839928
425,09/23/2019,18:12:26,56.69108425800965
426,09/23/2019,18:12:27,62.948773518032894
427,09/23/2019,18:12:28,57.791736124642284
428,09/23/2019,18:12:29,55.659799080264314
429,09/23/2019,18:12:30,61.92469701819546
430,09/23/2019,18:12:31,58.875505129725525
431,09/23/2019,18:12:32,63.916195072232206
432,09/23/2019,18:12:33,60.637974333414355
433,09/23/2019,18:12:34,55.60010382322643
434,09/23/2019,18:12:35,51.46705208400567
435,09/23/2019,18:12:36,51.77653489300225
436,09/23/2019,18:12:37,58.63032378694769
437,09/23/2019,18:12:38,54.054080150898905
438,09/23/2019,18:12:39,57.06685007445762
439,09/23/2019,18:12:40,61.0868208080221
440,09/23/2019,18:12:41,62.43819393584214
441,09/23/2019,18:12:42,66.61113222540729
442,09/23/2019,18:12:43,54.57190681453723
443,09/23/2019,18:12:44,56.62416532318819
444,09/23/2019,18:12:45,65.00505350246948
445,09/23/2019,18:12:46,60.76477851553893
446,09/23/2019,18:12:47,59.38298040117133
447,09/23/2019,18:12:48,52.76735559470518
448,09/23/2019,18:12:49,57.145143956049225
449,09/23/2019,18:12:50,61.00831558065544
450,09/23/2019,18:12:51,57.937155660337275
451,09/23/2019,18:12:52,62.20424498102524
452,09/23/2019,18:12:53,54.355250654348325
453,09/23/2019,18:12:54,53.9780568092023
454,09/23/2019,18:12:55,53.42518424029986
455,09/23/2019,18:12:56,51.466698592414296
456,09/23/2019,18:12:57,54.44465140004793
457,09/23/2019,18:12:58,53.010562339315
458,09/23/2019,18:12:59,57.88002172109018
459,09/23/2019,18:13:00,63.34913899827232
460,09/23/2019,18:13:01,62.07777813710066
461,09/23/2019,18:13:02,63.11627995859428
462,09/23/2019,18:13:03,63.682883913523064
463,09/23/2019,18:13:04,65.10899625734885
464,09/23/2019,18:13:05,60.461125099029395
465,09/23/2019,18:13:06,63.84915575284107
466,09/23/2019,18:13:07,59.75405708371198
467,09/23/2019,18:13:08,59.9248804018804
468,09/23/2019,18:13:09,66.14600074228596
469,09/23/2019,18:13:10,65.19554818741946
470,09/23/2019,18:13:11,61.09782073575325
471,09/23/2019,18:13:12,65.9510279034655
472,09/23/2019,18:13:13,62.49613873534173
473,09/23/2019,18:13:14,64.50876074615016
474,09/23/2019,18:13:15,60.30409212106071
475,09/23/2019,18:13:16,57.197042427800405
476,09/23/2019,18:13:17,59.882743906442
477,09/23/2019,18:13:18,56.351051631648815
478,09/23/2019,18:13:19,59.59938997798307
