,#lat,long,speed,altitude,time
23.49671094,87.31310728,5.579999923706055,20.0,09/23/2019 18:11:57,
23.496732100000003,87.31307105,5.550000190734863,19.0,09/23/2019 18:11:58,
23.49676074,87.31299376,6.510000228881836,18.0,09/23/2019 18:11:59,
23.49678564,87.31294992,5.559999942779541,17.0,09/23/2019 18:12:00,
23.49681812,87.31289498,6.1599998474121085,16.0,09/23/2019 18:12:01,
23.49684829,87.31285254,5.9099998474121085,16.0,09/23/2019 18:12:02,
23.49687257,87.31280217,5.800000190734862,16.0,09/23/2019 18:12:03,
23.49690011,87.31275081,5.920000076293945,15.0,09/23/2019 18:12:04,
23.49694669,87.31268323,6.320000171661378,15.0,09/23/2019 18:12:05,
23.49699611,87.31262025,6.829999923706055,13.0,09/23/2019 18:12:06,
23.49702686,87.31257045,6.429999828338622,13.0,09/23/2019 18:12:07,
23.49706618,87.31251993,6.260000228881836,14.0,09/23/2019 18:12:08,
23.49709538,87.31246915,6.489999771118164,13.0,09/23/2019 18:12:09,
23.49712971,87.31241999,6.4000000953674325,14.0,09/23/2019 18:12:10,
23.49716934,87.31237867,6.360000133514403,14.0,09/23/2019 18:12:11,
23.49720038,87.3123357,6.019999980926514,14.0,09/23/2019 18:12:12,
23.49724383,87.31227682,6.079999923706055,14.0,09/23/2019 18:12:13,
23.49728193,87.31222807,6.510000228881836,17.0,09/23/2019 18:12:14,
23.49732073,87.31219122,6.78000020980835,17.0,09/23/2019 18:12:15,
23.49735898,87.31212933,6.610000133514403,17.0,09/23/2019 18:12:16,
23.49739403,87.31206017,7.28000020980835,17.0,09/23/2019 18:12:18,
23.49742108,87.31199286,7.0900001525878915,18.0,09/23/2019 18:12:18,
23.49745205,87.31194201,6.800000190734862,18.0,09/23/2019 18:12:19,
23.49748015,87.31189284,6.800000190734862,18.0,09/23/2019 18:12:20,
23.49752225,87.31183122,7.389999866485597,18.0,09/23/2019 18:12:21,
23.49755591,87.31176665,7.440000057220459,21.0,09/23/2019 18:12:23,
23.49759074,87.31169605,8.010000228881836,20.0,09/23/2019 18:12:23,
23.49763057,87.31162693,7.449999809265138,20.0,09/23/2019 18:12:24,
23.49766553,87.31156196,7.46999979019165,20.0,09/23/2019 18:12:25,
23.49771051,87.31148923,7.320000171661378,19.0,09/23/2019 18:12:26,
23.49774755,87.31143231,7.260000228881836,19.0,09/23/2019 18:12:27,
23.49777944,87.31136872,7.429999828338622,19.0,09/23/2019 18:12:28,
23.49782413,87.31130403,7.789999961853027,19.0,09/23/2019 18:12:29,
23.49786605,87.31124208,7.429999828338622,18.0,09/23/2019 18:12:30,
23.49790617,87.31117526,7.5900001525878915,18.0,09/23/2019 18:12:31,
23.49794752,87.3111163,7.889999866485597,19.0,09/23/2019 18:12:32,
23.49797991,87.31105699999999,7.920000076293945,19.0,09/23/2019 18:12:33,
23.49802354,87.31098704,8.220000267028809,19.0,09/23/2019 18:12:34,
23.49806707,87.31092348,8.010000228881836,19.0,09/23/2019 18:12:35,
23.49809999,87.31085731,8.189999580383299,18.0,09/23/2019 18:12:36,
23.49814207,87.31080016,8.060000419616701,17.0,09/23/2019 18:12:37,
23.49817941,87.31072623,7.730000019073486,16.0,09/23/2019 18:12:38,
23.49821087,87.31066747,7.440000057220459,15.0,09/23/2019 18:12:39,
23.49825011,87.31061071,7.440000057220459,15.0,09/23/2019 18:12:40,
23.49827299,87.31054015,7.010000228881836,15.0,09/23/2019 18:12:41,
23.49831563,87.31047628,7.369999885559082,14.0,09/23/2019 18:12:42,
23.49835252,87.31041646,7.21999979019165,15.0,09/23/2019 18:12:43,
23.49839276,87.31035103,6.6599998474121085,15.0,09/23/2019 18:12:44,
23.49843823,87.31030595,6.269999980926514,12.0,09/23/2019 18:12:45,
23.49846863,87.31024988,5.699999809265138,12.0,09/23/2019 18:12:46,
23.49849175,87.31019533,5.800000190734862,13.0,09/23/2019 18:12:47,
23.49851356,87.31015357,5.230000019073486,13.0,09/23/2019 18:12:48,
23.49853883,87.31010570000001,5.559999942779541,13.0,09/23/2019 18:12:49,
23.49856773,87.31006305,4.9099998474121085,14.0,09/23/2019 18:12:50,
23.49860297,87.31002111,4.880000114440918,14.0,09/23/2019 18:12:51,
23.49862764,87.30998123,4.96999979019165,14.0,09/23/2019 18:12:52,
23.49865601,87.30993968,5.1599998474121085,16.0,09/23/2019 18:12:53,
23.498687300000004,87.30990725,5.139999866485597,17.0,09/23/2019 18:12:54,
23.49872433,87.30986479,5.860000133514403,19.0,09/23/2019 18:12:55,
23.49875027,87.30980404,6.380000114440918,18.0,09/23/2019 18:12:56,
